NUTS3;NUTS2;NUTS1
DE111;DE11;DE1
DE112;DE11;DE1
DE113;DE11;DE1
DE114;DE11;DE1
DE115;DE11;DE1
DE116;DE11;DE1
DE117;DE11;DE1
DE118;DE11;DE1
DE119;DE11;DE1
DE11A;DE11;DE1
DE11B;DE11;DE1
DE11C;DE11;DE1
DE11D;DE11;DE1
DE121;DE12;DE1
DE122;DE12;DE1
DE123;DE12;DE1
DE124;DE12;DE1
DE125;DE12;DE1
DE126;DE12;DE1
DE127;DE12;DE1
DE128;DE12;DE1
DE129;DE12;DE1
DE12A;DE12;DE1
DE12B;DE12;DE1
DE12C;DE12;DE1
DE131;DE13;DE1
DE132;DE13;DE1
DE133;DE13;DE1
DE134;DE13;DE1
DE135;DE13;DE1
DE136;DE13;DE1
DE137;DE13;DE1
DE138;DE13;DE1
DE139;DE13;DE1
DE13A;DE13;DE1
DE141;DE14;DE1
DE142;DE14;DE1
DE143;DE14;DE1
DE144;DE14;DE1
DE145;DE14;DE1
DE146;DE14;DE1
DE147;DE14;DE1
DE148;DE14;DE1
DE149;DE14;DE1
DE211;DE21;DE2
DE212;DE21;DE2
DE213;DE21;DE2
DE214;DE21;DE2
DE215;DE21;DE2
DE216;DE21;DE2
DE217;DE21;DE2
DE218;DE21;DE2
DE219;DE21;DE2
DE21A;DE21;DE2
DE21B;DE21;DE2
DE21C;DE21;DE2
DE21D;DE21;DE2
DE21E;DE21;DE2
DE21F;DE21;DE2
DE21G;DE21;DE2
DE21H;DE21;DE2
DE21I;DE21;DE2
DE21J;DE21;DE2
DE21K;DE21;DE2
DE21L;DE21;DE2
DE21M;DE21;DE2
DE21N;DE21;DE2
DE221;DE22;DE2
DE222;DE22;DE2
DE223;DE22;DE2
DE224;DE22;DE2
DE225;DE22;DE2
DE226;DE22;DE2
DE227;DE22;DE2
DE228;DE22;DE2
DE229;DE22;DE2
DE22A;DE22;DE2
DE22B;DE22;DE2
DE22C;DE22;DE2
DE231;DE23;DE2
DE232;DE23;DE2
DE233;DE23;DE2
DE234;DE23;DE2
DE235;DE23;DE2
DE236;DE23;DE2
DE237;DE23;DE2
DE238;DE23;DE2
DE239;DE23;DE2
DE23A;DE23;DE2
DE241;DE24;DE2
DE242;DE24;DE2
DE243;DE24;DE2
DE244;DE24;DE2
DE245;DE24;DE2
DE246;DE24;DE2
DE247;DE24;DE2
DE248;DE24;DE2
DE249;DE24;DE2
DE24A;DE24;DE2
DE24B;DE24;DE2
DE24C;DE24;DE2
DE24D;DE24;DE2
DE251;DE25;DE2
DE252;DE25;DE2
DE253;DE25;DE2
DE254;DE25;DE2
DE255;DE25;DE2
DE256;DE25;DE2
DE257;DE25;DE2
DE258;DE25;DE2
DE259;DE25;DE2
DE25A;DE25;DE2
DE25B;DE25;DE2
DE25C;DE25;DE2
DE261;DE26;DE2
DE262;DE26;DE2
DE263;DE26;DE2
DE264;DE26;DE2
DE265;DE26;DE2
DE266;DE26;DE2
DE267;DE26;DE2
DE268;DE26;DE2
DE269;DE26;DE2
DE26A;DE26;DE2
DE26B;DE26;DE2
DE26C;DE26;DE2
DE271;DE27;DE2
DE272;DE27;DE2
DE273;DE27;DE2
DE274;DE27;DE2
DE275;DE27;DE2
DE276;DE27;DE2
DE277;DE27;DE2
DE278;DE27;DE2
DE279;DE27;DE2
DE27A;DE27;DE2
DE27B;DE27;DE2
DE27C;DE27;DE2
DE27D;DE27;DE2
DE27E;DE27;DE2
DE300;DE30;DE3
DE401;DE40;DE4
DE402;DE40;DE4
DE403;DE40;DE4
DE404;DE40;DE4
DE405;DE40;DE4
DE406;DE40;DE4
DE407;DE40;DE4
DE408;DE40;DE4
DE409;DE40;DE4
DE40A;DE40;DE4
DE40B;DE40;DE4
DE40C;DE40;DE4
DE40D;DE40;DE4
DE40E;DE40;DE4
DE40F;DE40;DE4
DE40G;DE40;DE4
DE40H;DE40;DE4
DE40I;DE40;DE4
DE501;DE50;DE5
DE502;DE50;DE5
DE600;DE60;DE6
DE711;DE71;DE7
DE712;DE71;DE7
DE713;DE71;DE7
DE714;DE71;DE7
DE715;DE71;DE7
DE716;DE71;DE7
DE717;DE71;DE7
DE718;DE71;DE7
DE719;DE71;DE7
DE71A;DE71;DE7
DE71B;DE71;DE7
DE71C;DE71;DE7
DE71D;DE71;DE7
DE71E;DE71;DE7
DE721;DE72;DE7
DE722;DE72;DE7
DE723;DE72;DE7
DE724;DE72;DE7
DE725;DE72;DE7
DE731;DE73;DE7
DE732;DE73;DE7
DE733;DE73;DE7
DE734;DE73;DE7
DE735;DE73;DE7
DE736;DE73;DE7
DE737;DE73;DE7
DE803;DE80;DE8
DE804;DE80;DE8
DE80J;DE80;DE8
DE80K;DE80;DE8
DE80L;DE80;DE8
DE80M;DE80;DE8
DE80N;DE80;DE8
DE80O;DE80;DE8
DE911;DE91;DE9
DE912;DE91;DE9
DE913;DE91;DE9
DE914;DE91;DE9
DE916;DE91;DE9
DE917;DE91;DE9
DE918;DE91;DE9
DE91A;DE91;DE9
DE91B;DE91;DE9
DE91C;DE91;DE9
DE922;DE92;DE9
DE923;DE92;DE9
DE925;DE92;DE9
DE926;DE92;DE9
DE927;DE92;DE9
DE928;DE92;DE9
DE929;DE92;DE9
